X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	
115.21	62.151	NaN	126.42	571.16	NaN	436.33	527.26	NaN	720.74	296.78	NaN
115.17	62.204	NaN	126.38	571.11	NaN	435.88	522.69	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.37	571.02	NaN	436.79	518.16	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571.24	NaN	436.7	514.98	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571	NaN	436.41	511.54	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.37	571.02	NaN	435.7	508.3	NaN	720.76	296.66	NaN
115.15	62.291	NaN	126.42	571	NaN	435.97	504.29	NaN	720.83	296.63	NaN
115.15	62.291	NaN	126.42	571	NaN	436.53	501.15	NaN	720.9	296.74	NaN
115.15	62.291	NaN	126.42	571	NaN	436.22	498.22	NaN	720.9	296.74	NaN
115.15	62.291	NaN	126.48	571.23	NaN	436.19	492.41	NaN	720.83	296.63	NaN
115.15	62.291	NaN	126.55	571.62	NaN	436.39	489.26	NaN	720.6	296.83	NaN
115.17	62.057	NaN	126.48	571.27	NaN	435.97	484.68	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.81	480.05	NaN	720.77	297.19	NaN
115.15	62.148	NaN	126.51	571.61	NaN	436.75	475.98	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.13	471.26	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.48	571.75	NaN	436.27	466.95	NaN	720.68	296.84	NaN
115.15	62.148	NaN	126.48	571.75	NaN	436.26	461.86	NaN	720.68	296.84	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.17	458.06	NaN	720.68	296.84	NaN
115.15	62.148	NaN	126.55	571.62	NaN	435.89	454.81	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.06	451	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.97	447.81	NaN	720.76	296.66	NaN
115.15	62.148	NaN	126.53	571.51	NaN	436.33	443.94	NaN	720.76	296.66	NaN
115.15	62.019	NaN	126.53	571.51	NaN	436.55	441.05	NaN	720.82	296.79	NaN
115.15	61.907	NaN	126.53	571.51	NaN	436.65	436.65	NaN	720.73	296.97	NaN
116.28	62.688	NaN	126.55	571.62	NaN	436.59	433.03	NaN	720.76	296.66	NaN
120.61	65.806	NaN	126.53	571.51	NaN	436.03	428.66	NaN	720.73	296.97	NaN
125.6	69.667	NaN	126.56	572	NaN	436.11	424.43	NaN	720.73	296.97	NaN
131	73.03	NaN	126.53	571.51	NaN	436.55	420.5	NaN	720.79	296.9	NaN
135.79	75.735	NaN	126.55	571.62	NaN	436.18	417.68	NaN	720.73	296.97	NaN
139.88	80.441	NaN	126.49	571.33	NaN	436.41	414.03	NaN	720.73	296.97	NaN
145.09	85.303	NaN	126.49	571.33	NaN	436.63	410.79	NaN	720.73	296.97	NaN
148.97	89.353	NaN	126.49	571.33	NaN	436.97	407.23	NaN	720.73	296.97	NaN
152.09	95.375	NaN	126.49	571.33	NaN	436.47	403.58	NaN	720.73	296.97	NaN
156.36	100.18	NaN	126.55	571.62	NaN	436.67	399.55	NaN	720.79	296.9	NaN
159.72	105.91	NaN	126.55	571.62	NaN	436.52	396	NaN	720.79	296.9	NaN
162.81	112.4	NaN	126.55	571.62	NaN	436.56	392.83	NaN	720.79	296.9	NaN
167.53	118.84	NaN	126.55	571.62	NaN	436.21	388.95	NaN	720.79	296.9	NaN
170.61	125.75	NaN	126.55	571.62	NaN	436.33	385.33	NaN	720.79	296.9	NaN
174.66	131.69	NaN	126.47	571.21	NaN	436.41	381.97	NaN	720.79	296.9	NaN
178.88	138.18	NaN	126.47	571.21	NaN	436.46	379.05	NaN	720.79	296.9	NaN
183.28	144.25	NaN	126.47	571.21	NaN	436.39	375.26	NaN	720.79	296.9	NaN
188.76	149.03	NaN	126.52	571.52	NaN	437	371.62	NaN	720.79	296.9	NaN
194	155	NaN	126.43	571.29	NaN	436.61	368.26	NaN	720.79	296.9	NaN
200.39	159.47	NaN	126.53	571.51	NaN	436.51	365.41	NaN	720.79	296.9	NaN
206.32	164.44	NaN	126.49	571.54	NaN	436.41	361.7	NaN	720.79	296.9	NaN
211.95	169.57	NaN	126.49	571.54	NaN	436.49	358.23	NaN	720.79	296.9	NaN
218.11	173.92	NaN	126.49	571.54	NaN	437.06	354.89	NaN	720.79	296.9	NaN
223.05	179.37	NaN	126.49	571.54	NaN	436.88	350.85	NaN	720.73	296.77	NaN
229.69	183.38	NaN	126.49	571.54	NaN	437.05	346.44	NaN	720.73	296.77	NaN
234.49	187.78	NaN	126.49	571.54	NaN	436.98	342.77	NaN	720.73	296.77	NaN
240.42	192.36	NaN	126.49	571.54	NaN	436.63	338.95	NaN	720.79	296.9	NaN
246.8	196.07	NaN	126.43	571.29	NaN	436.78	334.73	NaN	720.79	296.9	NaN
252.05	201.31	NaN	126.43	571.29	NaN	437	330.05	NaN	720.79	296.9	NaN
258.54	205.38	NaN	126.45	571.62	NaN	436.5	326.5	NaN	720.73	296.77	NaN
264	210.38	NaN	126.51	571.61	NaN	436.43	323	NaN	720.73	296.77	NaN
269.61	214.97	NaN	126.51	571.61	NaN	436.41	322.88	NaN	720.73	296.77	NaN
275.49	218.95	NaN	126.51	571.61	NaN	436.57	322.89	NaN	720.73	296.77	NaN
280.85	224.59	NaN	126.45	571.62	NaN	437.44	323.28	NaN	720.73	296.77	NaN
287.25	228.53	NaN	126.45	571.62	NaN	437.68	322.65	NaN	720.73	296.77	NaN
292.84	233.68	NaN	126.52	571.79	NaN	437.55	322.58	NaN	720.73	296.77	NaN
298.06	238.03	NaN	126.51	571.79	NaN	437.11	322.74	NaN	720.73	296.77	NaN
304.73	242.22	NaN	126.51	571.79	NaN	437.15	323.29	NaN	720.73	296.77	NaN
309.9	247.03	NaN	126.51	571.79	NaN	438.28	322.97	NaN	720.73	296.77	NaN
315.85	250.85	NaN	126.51	571.79	NaN	438.69	322.62	NaN	720.73	296.77	NaN
321.31	255.15	NaN	126.53	571.7	NaN	438.09	321.8	NaN	720.73	296.77	NaN
326.61	260.53	NaN	126.51	571.79	NaN	437.9	322.39	NaN	720.73	296.77	NaN
332.66	264.45	NaN	126.45	571.8	NaN	438.65	322.73	NaN	720.73	296.77	NaN
337.84	269.13	NaN	126.51	571.78	NaN	439.08	322.37	NaN	720.73	296.77	NaN
343.38	273.38	NaN	126.45	571.8	NaN	438.97	321.62	NaN	720.73	296.77	NaN
349.29	276.97	NaN	126.51	571.79	NaN	438.87	321.58	NaN	720.73	296.77	NaN
354.78	281.39	NaN	126.51	571.79	NaN	438.43	321.66	NaN	720.79	296.9	NaN
361.07	284.52	NaN	126.51	571.79	NaN	438.46	321.65	NaN	720.79	296.9	NaN
366.9	288.34	NaN	126.58	571.88	NaN	438.44	321.39	NaN	720.79	296.9	NaN
372.89	292.89	NaN	126.58	571.88	NaN	438.3	321.7	NaN	720.79	296.9	NaN
378.78	296.11	NaN	126.58	571.88	NaN	437.93	322.3	NaN	720.79	296.9	NaN
384.14	300.19	NaN	126.53	571.7	NaN	437.38	322.88	NaN	720.79	296.9	NaN
389.92	304.33	NaN	126.53	571.7	NaN	437.77	323.81	NaN	720.79	296.9	NaN
395.49	303.97	NaN	126.53	571.7	NaN	437.73	324.27	NaN	720.79	296.9	NaN
400.24	303.55	NaN	126.52	571.52	NaN	438.03	324.81	NaN	720.79	296.9	NaN
404.89	302.36	NaN	126.52	571.52	NaN	437.67	325.83	NaN	720.79	296.9	NaN
411.29	303.09	NaN	126.46	571.44	NaN	437.79	326.83	NaN	720.79	296.9	NaN
414.28	302.21	NaN	126.52	571.43	NaN	437.44	328.44	NaN	720.79	296.9	NaN
413.36	302.03	NaN	126.46	571.44	NaN	437.49	329.81	NaN	720.79	296.9	NaN
414.43	301.7	NaN	126.4	571.45	NaN	436.86	331.84	NaN	720.79	296.9	NaN
414.68	301.96	NaN	126.52	571.43	NaN	436.51	332.9	NaN	720.79	296.9	NaN
414.35	302.52	NaN	126.52	571.43	NaN	436.25	334.28	NaN	720.79	296.9	NaN
413.88	301.35	NaN	126.52	571.43	NaN	436.36	336.53	NaN	720.79	296.9	NaN
413.77	300.71	NaN	126.52	571.43	NaN	436.57	338.37	NaN	720.73	296.77	NaN
412.97	300.67	NaN	126.52	571.43	NaN	437.85	337.11	NaN	720.79	296.9	NaN
413.33	300.78	NaN	126.52	571.43	NaN	437.89	338.85	NaN	720.73	296.77	NaN
413.68	300.59	NaN	126.52	571.43	NaN	437.57	340.02	NaN	720.66	296.76	NaN
414.3	301.84	NaN	126.52	571.43	NaN	437	342.24	NaN	720.66	296.76	NaN
414.09	302.43	NaN	126.52	571.43	NaN	437.76	344.39	NaN	720.73	296.77	NaN
413.77	302.43	NaN	126.52	571.43	NaN	438	345.4	NaN	720.73	296.77	NaN
413.06	302.3	NaN	126.52	571.43	NaN	438.1	346.59	NaN	720.73	296.77	NaN
412.2	302.45	NaN	126.51	571.51	NaN	437.68	347.46	NaN	720.79	296.9	NaN
412.61	302.42	NaN	126.51	571.51	NaN	437.29	348.23	NaN	720.94	296.97	NaN
414.84	302.19	NaN	126.45	571.52	NaN	437.64	348.72	NaN	720.94	296.97	NaN
414.75	302.48	NaN	126.45	571.52	NaN	437.93	348.8	NaN	720.94	296.97	NaN
414.27	302.67	NaN	126.45	571.33	NaN	439.17	348.24	NaN	720.94	296.97	NaN
414.35	301.52	NaN	126.45	571.33	NaN	440.12	347.1	NaN	720.94	296.97	NaN
414.15	299.82	NaN	126.45	571.33	NaN	440.02	344.39	NaN	720.94	296.97	NaN
414.05	299.27	NaN	126.45	571.33	NaN	438.85	342.3	NaN	720.94	296.97	NaN
413.85	298.09	NaN	126.45	571.38	NaN	437.24	340.87	NaN	720.94	296.97	NaN
413.69	296.34	NaN	126.57	571.41	NaN	436.5	339.26	NaN	720.94	296.97	NaN
414.77	294.43	NaN	126.57	571.41	NaN	436.38	337.55	NaN	720.87	297	NaN
415	292.66	NaN	126.57	571.41	NaN	436.5	335.14	NaN	720.94	296.97	NaN
415.22	291.13	NaN	126.57	571.41	NaN	436.86	333.74	NaN	720.94	296.97	NaN
415	289	NaN	126.57	571.41	NaN	437.38	333.56	NaN	720.94	296.97	NaN
414.48	286.61	NaN	126.57	571.41	NaN	436.73	330.75	NaN	720.94	296.97	NaN
414.96	283.91	NaN	126.57	571.41	NaN	436.59	328.76	NaN	720.87	296.87	NaN
414.63	280.72	NaN	126.57	571.41	NaN	436.26	325.62	NaN	720.87	296.87	NaN
414.58	277.65	NaN	126.52	571.43	NaN	436.67	323.28	NaN	720.87	297	NaN
414.67	275.72	NaN	126.51	571.51	NaN	436.84	322.28	NaN	720.87	297	NaN
414.79	273.24	NaN	126.51	571.51	NaN	436.81	322.32	NaN	720.87	297	NaN
413.93	269.76	NaN	126.47	571.44	NaN	436.64	322.64	NaN	720.79	296.9	NaN
414.61	265.68	NaN	126.51	571.33	NaN	436.64	322.64	NaN	720.79	296.9	NaN
415.05	261.7	NaN	126.5	571.4	NaN	436.89	322.71	NaN	720.79	296.9	NaN
414.26	257.95	NaN	126.51	571.33	NaN	436.89	322.71	NaN	720.79	296.9	NaN
414.4	254.24	NaN	126.51	571.33	NaN	436.82	322.88	NaN	720.79	296.9	NaN
414.73	250.15	NaN	126.51	571.51	NaN	436.34	323.09	NaN	720.79	296.9	NaN
414.07	246.04	NaN	126.51	571.51	NaN	436.08	323.17	NaN	720.79	296.9	NaN
414.23	243.18	NaN	126.51	571.51	NaN	436.34	322.45	NaN	720.73	296.77	NaN
414.67	240.59	NaN	126.51	571.51	NaN	436.54	322.24	NaN	720.73	296.77	NaN
414.15	237.3	NaN	126.51	571.51	NaN	436.69	322.14	NaN	720.73	296.77	NaN
414.24	233.22	NaN	126.51	571.33	NaN	436.75	322.73	NaN	720.73	296.77	NaN
414.63	229.4	NaN	126.51	571.51	NaN	436.71	322.95	NaN	720.79	296.9	NaN
414.43	225.61	NaN	126.51	571.51	NaN	437.26	322.69	NaN	720.79	296.9	NaN
414.24	221.76	NaN	126.51	571.51	NaN	437.85	322.9	NaN	720.79	296.9	NaN
414.2	217.46	NaN	126.51	571.51	NaN	439.21	322.62	NaN	720.79	296.9	NaN
414.09	213.67	NaN	126.51	571.51	NaN	440.81	321.89	NaN	720.79	296.9	NaN
414.1	209.9	NaN	126.51	571.51	NaN	442.65	321.92	NaN	720.79	296.9	NaN
413.95	206.53	NaN	126.52	571.43	NaN	443.87	321.79	NaN	720.79	296.9	NaN
414.02	202.9	NaN	126.51	571.51	NaN	444.97	321.72	NaN	720.79	296.9	NaN
413.82	198.97	NaN	126.51	571.51	NaN	446	321.52	NaN	720.79	296.9	NaN
413.44	195.37	NaN	126.51	571.51	NaN	447.44	321.78	NaN	720.79	296.9	NaN
413.58	191.34	NaN	126.51	571.61	NaN	448.67	322.59	NaN	720.87	296.87	NaN
413.33	188.07	NaN	126.51	571.61	NaN	449.8	322.95	NaN	720.87	296.87	NaN
413.2	184.1	NaN	126.51	571.33	NaN	451.25	322.5	NaN	720.87	296.87	NaN
413.51	180.38	NaN	126.51	571.33	NaN	452.59	321.79	NaN	720.87	296.87	NaN
413.71	177.17	NaN	126.46	571.44	NaN	453.51	322.11	NaN	720.79	296.9	NaN
413.41	173.43	NaN	126.46	571.44	NaN	454.85	322.85	NaN	720.79	296.9	NaN
