X1	Y1	ProbId1	X2	Y2	ProbId2	
697.69	670	NaN	1158.5	165.5	NaN
698.69	669.81	NaN	1158.5	165.5	NaN
698.82	670	NaN	1158.6	165.42	NaN
701.41	671.82	NaN	1158.6	165.42	NaN
701.06	669.44	NaN	1158.6	165.42	NaN
701.68	666.95	NaN	1158.5	164.8	NaN
702.26	665.84	NaN	1158.5	164.8	NaN
707.96	665.36	NaN	1158.5	164.8	NaN
713.8	668.33	NaN	1158.5	164.8	NaN
711.95	669.11	NaN	1158.3	164.88	NaN
713.96	668.57	NaN	1158.3	164.73	NaN
712.64	667	NaN	1158.3	164.24	NaN
716	666	NaN	1158.5	164.49	NaN
718.81	666.88	NaN	1158.6	165.05	NaN
717.95	667.95	NaN	1158.6	165.06	NaN
719.55	667.27	NaN	1158.5	164.26	NaN
718.73	667.18	NaN	1158.5	164.3	NaN
718.07	667	NaN	1158.3	164.48	NaN
717.68	667.68	NaN	1158.5	164.26	NaN
717.92	667.88	NaN	1158.6	165.05	NaN
717.31	667	NaN	1158.6	165.05	NaN
717.94	666.76	NaN	1158.5	164.26	NaN
717.63	666.42	NaN	1158.5	164.83	NaN
718.05	666.74	NaN	1158.5	164.82	NaN
717.32	666.5	NaN	1158.6	164.88	NaN
717.94	667	NaN	1158.6	164.88	NaN
719.17	666.94	NaN	1158.6	164.88	NaN
720.37	666.84	NaN	1158.6	164.81	NaN
721.12	666.88	NaN	1158.6	164.81	NaN
722.06	665.76	NaN	1158.6	164.81	NaN
722.71	665.88	NaN	1158.6	164.88	NaN
721.4	664.27	NaN	1158.6	164.88	NaN
721.93	664.93	NaN	1158.6	164.88	NaN
721.55	664.55	NaN	1158.6	164.81	NaN
721.86	664	NaN	1158.6	164.81	NaN
722.61	664.89	NaN	1158.6	164.81	NaN
722.53	664.89	NaN	1158.6	164.81	NaN
722.53	663.89	NaN	1158.6	164.81	NaN
722.64	666	NaN	1158.6	164.82	NaN
722.64	666.92	NaN	1158.5	164.87	NaN
722.46	667.15	NaN	1158.5	164.71	NaN
722.63	666.13	NaN	1158.4	164.79	NaN
722.38	665.92	NaN	1158.6	164.5	NaN
722.52	665.92	NaN	1158.6	164.81	NaN
722.24	665.34	NaN	1158.6	164.81	NaN
723.04	665.19	NaN	1158.5	164.3	NaN
722.61	665.07	NaN	1158.5	164.31	NaN
722.65	665.04	NaN	1158.5	164.41	NaN
722.21	665.41	NaN	1158.5	165.01	NaN
722.24	665.36	NaN	1158.5	164.85	NaN
721.62	664.65	NaN	1158.6	164.83	NaN
721.85	664.74	NaN	1158.6	165.45	NaN
722.17	664.72	NaN	1158.6	164.73	NaN
722.08	664.62	NaN	1158.6	165.03	NaN
722.04	664.82	NaN	1158.6	165.03	NaN
722.04	664.82	NaN	1158.6	165.03	NaN
722.04	664.82	NaN	1158.6	165.03	NaN
722.21	664.9	NaN	1158.6	165.03	NaN
722.21	664.9	NaN	1158.6	165.27	NaN
721.77	664.65	NaN	1158.4	165.39	NaN
720.68	663.04	NaN	1158.4	165.57	NaN
720.46	662.13	NaN	1158.4	165.57	NaN
719.74	660.7	NaN	1158.4	165.57	NaN
720	658.19	NaN	1158.4	165.57	NaN
719.32	656.68	NaN	1158.4	165.57	NaN
720.52	655.67	NaN	1158.4	165.39	NaN
722.65	654.15	NaN	1158.4	165.57	NaN
720.22	650.87	NaN	1158.4	165.57	NaN
721.78	650.96	NaN	1158.4	165.57	NaN
722.8	650.2	NaN	1158.4	165.57	NaN
722.81	644.81	NaN	1158.4	165.57	NaN
722.72	642.89	NaN	1158.4	165.57	NaN
724.83	643.29	NaN	1158.4	165.57	NaN
727.44	642.24	NaN	1158.4	165.57	NaN
726.89	640.79	NaN	1158.4	165.57	NaN
726.22	639	NaN	1158.4	165.57	NaN
727.47	639.76	NaN	1158.4	165.57	NaN
727.89	640.74	NaN	1158.4	165.57	NaN
729.59	638.27	NaN	1158.4	165.57	NaN
728.84	636.42	NaN	1158.4	165.57	NaN
731.31	637.08	NaN	1158.4	165.57	NaN
730.63	636.81	NaN	1158.4	165.57	NaN
730.86	636.36	NaN	1158.4	165.57	NaN
731.86	637.05	NaN	1158.4	165.57	NaN
730.11	635.68	NaN	1158.4	165.57	NaN
728.65	634.41	NaN	1158.4	165.57	NaN
728.86	635.29	NaN	1158.4	165.57	NaN
730.04	635.69	NaN	1158.4	165.57	NaN
728.78	633.28	NaN	1158.4	165.57	NaN
730.93	632.07	NaN	1158.4	165.57	NaN
729.92	632.88	NaN	1158.4	165.57	NaN
730.39	631.61	NaN	1158.4	165.57	NaN
730.47	631	NaN	1158.4	165.57	NaN
730.33	630.63	NaN	1158.4	165.57	NaN
731.17	631.22	NaN	1158.4	165.57	NaN
731.08	630	NaN	1158.4	165.57	NaN
731.1	629.86	NaN	1158.4	165.57	NaN
731.95	631.27	NaN	1158.4	165.57	NaN
740.03	631.15	NaN	1158.4	165.57	NaN
746.71	630.75	NaN	1158.4	165.57	NaN
748.74	626.65	NaN	1158.4	165.57	NaN
746.11	624.21	NaN	1158.5	165.47	NaN
748.31	624	NaN	1158.5	165.47	NaN
749.5	623.88	NaN	1158.5	165.47	NaN
749.3	623.26	NaN	1158.5	165.47	NaN
753.24	623.47	NaN	1158.5	165.47	NaN
753.45	623.76	NaN	1158.5	165.47	NaN
752.46	621.92	NaN	1158.5	165.47	NaN
751.32	622.2	NaN	1158.5	165.47	NaN
748.89	617.15	NaN	1158.5	165.47	NaN
746.07	614.07	NaN	1158.7	164.88	NaN
747.2	612.56	NaN	1158.7	164.88	NaN
751.44	612.19	NaN	1158.7	164.98	NaN
753.85	612.19	NaN	1158.7	164.83	NaN
753	607.13	NaN	1158.7	164.98	NaN
753.75	606.35	NaN	1158.7	164.98	NaN
755.05	606.77	NaN	1158.7	164.98	NaN
753.3	604.91	NaN	1158.7	164.98	NaN
752.71	603.76	NaN	1158.7	164.98	NaN
748.59	597.76	NaN	1158.7	164.98	NaN
750.48	596.33	NaN	1158.7	164.98	NaN
752.04	598	NaN	1158.7	164.98	NaN
751.65	594.4	NaN	1158.7	164.98	NaN
752.63	593.13	NaN	1158.7	164.98	NaN
752	592.11	NaN	1158.7	164.98	NaN
750.93	590	NaN	1158.7	164.98	NaN
751.43	590.81	NaN	1158.7	164.98	NaN
750.57	589	NaN	1158.7	164.98	NaN
750	587.45	NaN	1158.7	164.98	NaN
750.21	588.29	NaN	1158.7	164.98	NaN
749.75	587.58	NaN	1158.6	165.05	NaN
750.11	587.85	NaN	1158.6	164.94	NaN
750.04	587.84	NaN	1158.6	164.94	NaN
750.31	587.69	NaN	1158.6	164.94	NaN
750.31	587.69	NaN	1158.6	164.94	NaN
750	587.71	NaN	1158.6	164.94	NaN
750.42	587.77	NaN	1158.6	164.94	NaN
749.96	587	NaN	1158.6	164.94	NaN
748.38	585.46	NaN	1158.6	164.94	NaN
749.04	584.62	NaN	1158.6	164.94	NaN
748.96	581.78	NaN	1158.6	164.94	NaN
747.58	581.88	NaN	1158.6	164.94	NaN
748	581.45	NaN	1158.6	164.94	NaN
747.96	580.96	NaN	1158.6	164.94	NaN
746.7	579.48	NaN	1158.6	164.94	NaN
747.1	579.24	NaN	1158.6	164.94	NaN
747.33	579.67	NaN	1158.6	164.94	NaN
747.87	578.61	NaN	1158.6	164.94	NaN
748.11	576.58	NaN	1158.6	164.94	NaN
748.95	577.18	NaN	1158.6	165.37	NaN
749.41	577.23	NaN	1158.6	165.37	NaN
750.64	577.86	NaN	1158.6	165.37	NaN
751.9	576.9	NaN	1158.6	165.37	NaN
752.05	575.68	NaN	1158.6	165.37	NaN
751.7	575.8	NaN	1158.6	165.37	NaN
750.86	575.95	NaN	1158.6	165.37	NaN
751.64	574.86	NaN	1158.6	165.37	NaN
751	575.9	NaN	1158.6	165.37	NaN
750.79	575.05	NaN	1158.6	165.37	NaN
751.54	575.08	NaN	1158.6	165.37	NaN
751.76	575.24	NaN	1158.6	165.37	NaN
752.33	574.71	NaN	1158.6	165.37	NaN
753.19	573.81	NaN	1158.6	165.37	NaN
754.72	573.28	NaN	1158.6	165.37	NaN
755.35	573	NaN	1158.6	165.37	NaN
756.31	572.56	NaN	1158.6	165.37	NaN
757.65	572.18	NaN	1158.6	165.37	NaN
759.3	570.48	NaN	1158.6	165.37	NaN
761.68	569.93	NaN	1158.6	165.37	NaN
763.13	567	NaN	1158.6	165.37	NaN
761.38	566.88	NaN	1158.6	165.37	NaN
762.71	565.29	NaN	1158.6	165.37	NaN
763.79	560.33	NaN	1158.6	165.37	NaN
765.69	558.92	NaN	1158.6	165.37	NaN
766.89	553.11	NaN	1158.6	165.37	NaN
767.69	548.69	NaN	1158.6	165.37	NaN
770.9	549.71	NaN	1158.6	165.37	NaN
774.65	547.24	NaN	1158.6	165.37	NaN
775.35	546.96	NaN	1158.6	165.37	NaN
776.92	547.42	NaN	1158.6	165.37	NaN
776.39	546.17	NaN	1158.6	165.37	NaN
777.28	543.1	NaN	1158.6	165.37	NaN
778.4	541.4	NaN	1158.6	165.37	NaN
779.08	541.8	NaN	1158.6	165.37	NaN
780.84	542.16	NaN	1158.6	165.37	NaN
781.32	542.53	NaN	1158.6	165.37	NaN
781.68	542.2	NaN	1158.6	165.37	NaN
781.33	541.46	NaN	1158.6	165.37	NaN
782.63	541.07	NaN	1158.6	165.37	NaN
782.57	541.26	NaN	1158.6	165.37	NaN
784.07	540.67	NaN	1158.6	165.37	NaN
783.93	540.73	NaN	1158.6	165.37	NaN
783.39	540.36	NaN	1158.6	165.37	NaN
783.22	540.35	NaN	1158.6	165.37	NaN
784.27	540.5	NaN	1158.6	165.37	NaN
783.55	540.81	NaN	1158.6	165.37	NaN
783.61	540.32	NaN	1158.6	165.37	NaN
784.21	540.66	NaN	1158.6	164.67	NaN
784.18	541	NaN	1158.6	164.67	NaN
784.16	540.61	NaN	1158.6	164.67	NaN
783.5	540.56	NaN	1158.6	164.67	NaN
783.77	541.08	NaN	1158.6	164.67	NaN
784	540.87	NaN	1158.6	164.67	NaN
782.71	539.65	NaN	1158.6	164.67	NaN
784.14	540.59	NaN	1158.6	164.67	NaN
784.67	540.8	NaN	1158.6	164.67	NaN
