,frame,pos_x,pos_y,id
708,89.0,1390,722,E
709,89.0,583,625,F
710,89.0,1151,858,G
711,89.0,1284,706,H
712,90.0,513,314,A
713,90.0,1055,424,B
714,90.0,506,696,C
715,90.0,601,707,D
716,90.0,1391,722,E
717,90.0,581,609,F
718,90.0,1156,856,G
719,90.0,1288,696,H
720,91.0,515,315,A
721,91.0,1055,424,B
722,91.0,508,695,C
723,91.0,598,703,D
724,91.0,1390,722,E
725,91.0,574,603,F
726,91.0,1164,859,G
727,91.0,1297,682,H
728,92.0,514,314,A
729,92.0,1055,424,B
730,92.0,510,693,C
731,92.0,592,700,D
732,92.0,1390,723,E
733,92.0,561,598,F
734,92.0,1169,862,G
735,92.0,1301,674,H
736,93.0,513,314,A
737,93.0,1054,424,B
738,93.0,510,694,C
739,93.0,585,692,D
740,93.0,1388,724,E
741,93.0,557,596,F
742,93.0,1169,864,G
743,93.0,1305,665,H
744,94.0,513,314,A
745,94.0,1055,424,B
746,94.0,510,696,C
747,94.0,581,682,D
748,94.0,1387,725,E
749,94.0,552,595,F
750,94.0,1170,866,G
751,94.0,1311,658,H
752,95.0,513,314,A
753,95.0,1055,424,B
754,95.0,509,696,C
755,95.0,580,677,D
756,95.0,1385,726,E
757,95.0,548,596,F
758,95.0,1172,863,G
759,95.0,1319,649,H
760,96.0,513,316,A
761,96.0,1055,424,B
762,96.0,509,696,C
763,96.0,578,674,D
764,96.0,1383,727,E
765,96.0,541,597,F
766,96.0,1176,861,G
767,96.0,1325,643,H
768,97.0,513,316,A
769,97.0,1055,424,B
770,97.0,510,696,C
771,97.0,575,672,D
772,97.0,1383,725,E
773,97.0,543,602,F
774,97.0,1180,858,G
775,97.0,1326,641,H
776,98.0,512,317,A
777,98.0,1055,424,B
778,98.0,510,696,C
779,98.0,572,670,D
780,98.0,1383,723,E
781,98.0,546,603,F
782,98.0,1187,855,G
783,98.0,1324,641,H
784,99.0,512,319,A
785,99.0,1055,424,B
786,99.0,511,696,C
787,99.0,572,669,D
788,99.0,1382,722,E
789,99.0,552,602,F
790,99.0,1199,853,G
791,99.0,1320,639,H
792,100.0,512,321,A
793,100.0,1055,424,B
794,100.0,511,697,C
795,100.0,572,667,D
796,100.0,1383,720,E
797,100.0,563,601,F
798,100.0,1211,850,G
799,100.0,1315,636,H
800,101.0,512,321,A
801,101.0,1055,424,B
802,101.0,511,698,C
803,101.0,572,664,D
804,101.0,1384,720,E
805,101.0,569,597,F
806,101.0,1222,844,G
807,101.0,1308,633,H
808,102.0,513,324,A
809,102.0,1055,424,B
810,102.0,511,699,C
811,102.0,571,661,D
812,102.0,1384,720,E
813,102.0,575,597,F
814,102.0,1240,839,G
815,102.0,1304,629,H
816,103.0,514,328,A
817,103.0,1055,424,B
818,103.0,511,699,C
819,103.0,569,656,D
820,103.0,1385,719,E
821,103.0,585,597,F
822,103.0,1251,831,G
823,103.0,1299,625,H
824,104.0,516,331,A
825,104.0,1055,424,B
826,104.0,511,700,C
827,104.0,567,656,D
828,104.0,1385,719,E
829,104.0,594,596,F
830,104.0,1264,817,G
831,104.0,1297,621,H
832,105.0,517,336,A
833,105.0,1055,424,B
834,105.0,510,700,C
835,105.0,567,656,D
836,105.0,1385,719,E
837,105.0,598,587,F
838,105.0,1274,809,G
839,105.0,1296,619,H
840,106.0,517,340,A
841,106.0,1055,424,B
842,106.0,510,699,C
843,106.0,566,654,D
844,106.0,1385,718,E
845,106.0,599,576,F
846,106.0,1281,800,G
847,106.0,1296,609,H
848,107.0,515,344,A
849,107.0,1055,424,B
850,107.0,510,700,C
851,107.0,563,650,D
852,107.0,1385,718,E
853,107.0,601,567,F
854,107.0,1281,777,G
855,107.0,1297,600,H
856,108.0,514,348,A
857,108.0,1055,424,B
858,108.0,510,699,C
859,108.0,558,642,D
860,108.0,1385,718,E
861,108.0,593,548,F
862,108.0,1282,767,G
863,108.0,1300,587,H
864,109.0,513,355,A
865,109.0,1054,424,B
866,109.0,510,700,C
867,109.0,559,630,D
868,109.0,1386,718,E
869,109.0,590,527,F
870,109.0,1280,759,G
871,109.0,1305,578,H
872,110.0,510,359,A
873,110.0,1054,424,B
874,110.0,511,700,C
875,110.0,562,617,D
876,110.0,1386,718,E
877,110.0,583,516,F
878,110.0,1274,744,G
879,110.0,1311,565,H
880,111.0,507,366,A
881,111.0,1054,424,B
882,111.0,511,700,C
883,111.0,561,606,D
884,111.0,1386,719,E
885,111.0,572,499,F
886,111.0,1270,735,G
887,111.0,1312,558,H
888,112.0,503,370,A
889,112.0,1055,424,B
890,112.0,511,700,C
891,112.0,563,596,D
892,112.0,1386,719,E
893,112.0,571,477,F
894,112.0,1265,727,G
895,112.0,1312,549,H
896,113.0,500,375,A
897,113.0,1054,424,B
898,113.0,511,700,C
899,113.0,566,581,D
900,113.0,1386,720,E
901,113.0,568,462,F
902,113.0,1262,721,G
903,113.0,1312,539,H
904,114.0,500,380,A
905,114.0,1055,424,B
906,114.0,511,700,C
907,114.0,567,566,D
908,114.0,1386,720,E
909,114.0,568,447,F
