X1	Y1	ProbId1	
800.78	445.48	NaN
800.78	445.48	NaN
799.54	446.29	NaN
800.93	445.67	NaN
800.28	446.18	NaN
802.16	445.18	NaN
801.75	445.43	NaN
801.75	445.43	NaN
800.16	446.4	NaN
799.75	446.49	NaN
800.29	446.01	NaN
800.28	445.9	NaN
798.13	446.99	NaN
800.44	445.81	NaN
800.61	445.7	NaN
800.3	445.4	NaN
800.86	445.08	NaN
801	445.02	NaN
797.8	446.66	NaN
798.17	446.4	NaN
785.11	448.36	NaN
775.1	448.14	NaN
767.38	446.89	NaN
758.17	444.86	NaN
759.53	445.28	NaN
758.98	445.13	NaN
762.61	446.39	NaN
751.4	443.09	NaN
749.14	442.87	NaN
747.9	442.99	NaN
731.56	450.88	NaN
731.56	450.88	NaN
711.21	463.37	NaN
703.42	467.25	NaN
704.19	465.09	NaN
696.46	469.1	NaN
690.92	471.47	NaN
690.97	471.46	NaN
681.05	477.34	NaN
682.09	475.49	NaN
679.84	476.38	NaN
676.66	477.38	NaN
675.35	477.56	NaN
675.35	477.56	NaN
674.54	477.31	NaN
673.16	477.82	NaN
673.28	478.03	NaN
674.45	477.45	NaN
676.94	476.2	NaN
677.14	476.07	NaN
676.71	476.34	NaN
677.61	475.69	NaN
677.65	475.54	NaN
674.7	477.19	NaN
674.09	477.38	NaN
674.09	477.38	NaN
673.78	477.4	NaN
674.26	477.1	NaN
673.88	477.3	NaN
674.44	476.9	NaN
674.79	476.64	NaN
674.79	476.64	NaN
674.36	477.11	NaN
674.13	477.41	NaN
673.2	478.09	NaN
674.47	477.48	NaN
670.12	480.31	NaN
670.12	480.31	NaN
674.4	477.5	NaN
676.36	476.35	NaN
674.95	477.29	NaN
675.35	476.86	NaN
675.54	476.78	NaN
675.66	476.68	NaN
674.68	476.92	NaN
673.9	477.27	NaN
674.06	477.17	NaN
674.45	476.74	NaN
673.81	477.15	NaN
673.81	477.15	NaN
674.3	476.88	NaN
674.14	477.01	NaN
673.48	477.43	NaN
672.43	478.27	NaN
674.47	476.94	NaN
674.47	476.94	NaN
675.16	476.84	NaN
675.46	476.69	NaN
674.47	477.4	NaN
675.12	477.19	NaN
674.66	477.15	NaN
674.66	477.15	NaN
673.91	477.5	NaN
677.37	475.59	NaN
676.75	476.01	NaN
674.84	477.07	NaN
675.07	476.8	NaN
675.07	476.8	NaN
674.75	476.96	NaN
673.01	477.86	NaN
673.94	477.12	NaN
678.05	474.67	NaN
676.29	475.66	NaN
676.08	475.79	NaN
674.46	476.93	NaN
674.56	476.97	NaN
674.87	476.98	NaN
675.31	476.59	NaN
674.96	476.92	NaN
674.29	477.35	NaN
677.49	475.62	NaN
674.75	477.15	NaN
674.8	477.1	NaN
678.01	475.38	NaN
675.22	477.15	NaN
671.31	479.76	NaN
674.02	477.31	NaN
674.32	477.09	NaN
674.82	476.83	NaN
674.52	477.01	NaN
674.04	477.09	NaN
674.57	476.89	NaN
674.6	476.89	NaN
674.77	476.79	NaN
675	476.67	NaN
674.88	476.91	NaN
671.39	479.17	NaN
671.16	479.33	NaN
671.39	479.26	NaN
670.87	479.39	NaN
671.05	479.56	NaN
671.86	479.27	NaN
671.72	479.35	NaN
