X1	Y1	ProbId1	X2	Y2	ProbId2	X3	Y3	ProbId3	X4	Y4	ProbId4	X5	Y5	ProbId5	X6	Y6	ProbId6	X7	Y7	ProbId7	X8	Y8	ProbId8	
506.2	698.85	NaN	585.02	236.85	NaN	1029.1	945.55	NaN	1192.6	860.39	NaN	1056.6	418.4	NaN	656.1	821.27	NaN	800.95	866.38	NaN	1389	728.94	NaN
506.2	698.85	NaN	585.7	240	NaN	1035.5	950.36	NaN	1212.5	857.6	NaN	1056.6	418.4	NaN	642.75	811.36	NaN	785.43	854.78	NaN	1388.9	728.96	NaN
506.16	698.71	NaN	584.67	243.08	NaN	1045.6	961.08	NaN	1223.4	855.66	NaN	1056.6	418.4	NaN	637.09	793.54	NaN	772.56	850.15	NaN	1388.9	728.96	NaN
506.13	698.57	NaN	582.01	246.81	NaN	1052.4	964.16	NaN	1236	849.76	NaN	1056.6	418.4	NaN	632.18	782.23	NaN	752.88	854.47	NaN	1389.1	728.61	NaN
506.18	699.07	NaN	578.01	250.83	NaN	1065.2	963.25	NaN	1245.6	843.96	NaN	1056.6	418.4	NaN	621.85	769.91	NaN	735.69	853.61	NaN	1389.1	728.65	NaN
506.14	698.59	NaN	573.25	259.34	NaN	1071.3	959.83	NaN	1259.3	835.79	NaN	1056.6	418.4	NaN	618.82	755.91	NaN	718.23	854.4	NaN	1389.3	728.4	NaN
506.04	698.12	NaN	569.76	266.35	NaN	1080.3	957.59	NaN	1267.5	824.27	NaN	1056.6	418.4	NaN	614.8	740.27	NaN	696.63	856.58	NaN	1389.2	728.61	NaN
506.05	698.35	NaN	565.21	271.1	NaN	1093.6	950.92	NaN	1273.2	816.59	NaN	1056.6	418.4	NaN	606.21	727.2	NaN	681.84	847.39	NaN	1389.1	728.68	NaN
506.07	698.47	NaN	555.98	277.27	NaN	1096.5	948.72	NaN	1278.1	808.68	NaN	1056.6	418.4	NaN	595.19	717.87	NaN	675.14	837.46	NaN	1389	728.9	NaN
506.23	699.38	NaN	550.76	281.28	NaN	1097.3	944.96	NaN	1281.6	804.11	NaN	1056.6	418.28	NaN	592.6	705.14	NaN	662.15	833.16	NaN	1389	728.86	NaN
506.23	699.67	NaN	547.79	285.8	NaN	1098.8	939.74	NaN	1283.2	792.13	NaN	1056.6	418.28	NaN	593.85	702.13	NaN	653.51	818.08	NaN	1389	728.86	NaN
506	699.57	NaN	544.95	296.72	NaN	1099.5	935.25	NaN	1282.7	786.18	NaN	1056.6	418.28	NaN	593.68	699.27	NaN	652.34	805.79	NaN	1388.1	729.87	NaN
505.4	700.63	NaN	541.36	302.12	NaN	1106.5	925.74	NaN	1280.7	776.65	NaN	1056.6	418.28	NaN	593.78	695.9	NaN	648.82	796.41	NaN	1389	728.87	NaN
504.99	700.79	NaN	537.56	304.25	NaN	1106.8	916.72	NaN	1279.6	770.38	NaN	1056.6	418.28	NaN	589.67	688.73	NaN	648.19	784.93	NaN	1389	728.87	NaN
502.98	698.65	NaN	531.22	306.2	NaN	1110.1	908.38	NaN	1280.3	762.27	NaN	1056.6	418.28	NaN	586.98	679.89	NaN	648.04	771.23	NaN	1389	728.87	NaN
502.77	697.85	NaN	526.08	308.69	NaN	1114	896.28	NaN	1278.5	752.11	NaN	1056.6	418.28	NaN	589.3	670.67	NaN	647.31	762.73	NaN	1389	728.84	NaN
503.22	697.21	NaN	520.18	311.75	NaN	1117.1	886.29	NaN	1278.5	745.61	NaN	1056.6	418.17	NaN	594.08	662.43	NaN	636.83	750.72	NaN	1389	728.75	NaN
503.37	696.1	NaN	518.67	313.51	NaN	1120.8	879.81	NaN	1277	735.85	NaN	1056.6	418.17	NaN	595.11	655.64	NaN	627.56	737.24	NaN	1389.1	728.54	NaN
503.5	693.61	NaN	518.05	313.92	NaN	1133.5	874.38	NaN	1279.2	728.5	NaN	1056.6	418.17	NaN	589.59	645.75	NaN	621	724.69	NaN	1388.9	728.75	NaN
500.72	691.37	NaN	516.82	315.2	NaN	1144.9	863.49	NaN	1283.2	714.36	NaN	1056.6	418.17	NaN	587.04	634.09	NaN	612.35	721.08	NaN	1388.1	729.6	NaN
503.07	690.17	NaN	515.76	314.93	NaN	1150.4	861.18	NaN	1286.5	705.56	NaN	1056.6	418.17	NaN	586.19	618.17	NaN	607.71	716.93	NaN	1388.2	729.53	NaN
504.76	690.89	NaN	516.08	315.98	NaN	1157.9	863.33	NaN	1295.5	691.06	NaN	1056.6	418.17	NaN	579.53	611.55	NaN	604.34	712.53	NaN	1388.3	729.28	NaN
506.36	688.11	NaN	515.6	315.29	NaN	1162.4	865.26	NaN	1300.3	682.86	NaN	1056.6	418.17	NaN	567.87	606.02	NaN	599.35	708.95	NaN	1387.6	729.67	NaN
506.88	689.19	NaN	514.64	315.16	NaN	1162.7	867.18	NaN	1303.9	673.33	NaN	1056.6	418.17	NaN	563.67	604.18	NaN	591.86	700.34	NaN	1386	730.99	NaN
506.27	690.6	NaN	514.6	314.97	NaN	1163.6	869.05	NaN	1308.5	666.15	NaN	1056.6	418.17	NaN	559.51	601.75	NaN	588.17	690.09	NaN	1384.6	732.51	NaN
505.35	691.53	NaN	514.7	315.32	NaN	1165.8	867.24	NaN	1317.4	657.79	NaN	1056.6	418.17	NaN	556.38	602.79	NaN	586.35	685.67	NaN	1382.9	733.38	NaN
505.35	690.8	NaN	515.36	316.26	NaN	1170.2	865.83	NaN	1323.3	651.74	NaN	1056.6	418.17	NaN	549.34	602.92	NaN	584.04	682.33	NaN	1380.8	734.67	NaN
505.87	691.3	NaN	514.7	316.86	NaN	1174	863.2	NaN	1324.3	650.04	NaN	1056.6	418.27	NaN	551.06	607.84	NaN	581.29	679.95	NaN	1380.5	733.81	NaN
506.29	691.16	NaN	515.04	317.5	NaN	1181.3	859.34	NaN	1323.1	649.75	NaN	1056.6	418.3	NaN	554.57	610.29	NaN	577.78	677.8	NaN	1380.2	732.69	NaN
506.54	690.79	NaN	515.08	319.34	NaN	1193	857.83	NaN	1320.9	647.57	NaN	1056.6	418.3	NaN	559.34	609.87	NaN	577.54	677.18	NaN	1380	732.61	NaN
507.38	691.75	NaN	516.86	320.03	NaN	1204.6	853.78	NaN	1316.1	645.6	NaN	1056.6	418.3	NaN	568.68	612.35	NaN	575.73	674.05	NaN	1380.8	730.42	NaN
507.09	692.87	NaN	517.26	320.2	NaN	1216	847.92	NaN	1310	643.99	NaN	1056.6	418.3	NaN	572.03	605.91	NaN	575.99	670.88	NaN	1381.4	730.05	NaN
507.05	694.03	NaN	518.81	321.47	NaN	1233.6	844.39	NaN	1306.5	638.6	NaN	1056.6	418.42	NaN	577.82	607.68	NaN	574.94	669.68	NaN	1382.1	729.48	NaN
507.52	694.63	NaN	519.53	324.6	NaN	1245.3	836.89	NaN	1302.6	634.27	NaN	1056.6	418.42	NaN	585.54	607.24	NaN	573.04	664.58	NaN	1382.4	729.22	NaN
507.57	694.62	NaN	521.65	326.76	NaN	1257.4	822.54	NaN	1299.9	629.84	NaN	1056.6	418.42	NaN	593.54	606.23	NaN	572.66	665.76	NaN	1382.4	729.02	NaN
507.4	694.52	NaN	522.51	330.84	NaN	1268.7	815.58	NaN	1298.4	627.57	NaN	1056.6	418.42	NaN	598.93	596.58	NaN	571.99	665.3	NaN	1382.5	728.53	NaN
507.45	694.63	NaN	521.55	335.85	NaN	1275.9	808.35	NaN	1297.3	617.52	NaN	1056.6	418.31	NaN	600.52	586.36	NaN	571.19	663.84	NaN	1382.6	727.93	NaN
507.55	694.77	NaN	519.42	339.41	NaN	1277.7	784.48	NaN	1298	609.68	NaN	1056.6	418.31	NaN	603.38	577.01	NaN	569.12	659.96	NaN	1383.1	727.04	NaN
507.71	694.72	NaN	518.8	343.46	NaN	1279	775.21	NaN	1299.6	597.37	NaN	1056.6	418.31	NaN	595.18	558.35	NaN	562.34	651.89	NaN	1383.3	727.35	NaN
507.77	694.78	NaN	516.97	350.81	NaN	1278.2	766.64	NaN	1304.2	588.12	NaN	1056.6	418.31	NaN	594.94	536.15	NaN	561.63	640.12	NaN	1383.3	727.53	NaN
507.8	694.75	NaN	515.47	354.57	NaN	1272.1	753.31	NaN	1310.6	574.31	NaN	1056.6	418.42	NaN	587.27	524.69	NaN	564.76	626.8	NaN	1383.5	727.76	NaN
508.03	695.07	NaN	512.09	361.9	NaN	1269.3	744.39	NaN	1312.7	567.13	NaN	1056.6	418.42	NaN	575.89	508.16	NaN	562.37	615.93	NaN	1383.4	728.46	NaN
507.98	694.94	NaN	508.05	366.84	NaN	1263.5	735.85	NaN	1312.4	557.63	NaN	1056.6	418.42	NaN	575.39	485.46	NaN	563.89	606.47	NaN	1383.7	728.52	NaN
507.84	694.7	NaN	505.18	371.08	NaN	1260.7	729.67	NaN	1312.3	548.13	NaN	1056.6	418.42	NaN	571.31	472.05	NaN	566.87	592.26	NaN	1383.8	729.22	NaN
507.86	694.66	NaN	504.15	375.9	NaN	1262.2	719.72	NaN	1312.3	534.91	NaN	1056.6	418.42	NaN	570.01	456.33	NaN	569.01	576.84	NaN	1383.9	729.22	NaN
507.87	694.67	NaN	500.68	385.43	NaN	1264.7	702.69	NaN	1311	525.51	NaN	1056.6	418.42	NaN	580.06	439.57	NaN	561.36	558.88	NaN	1383.8	729.57	NaN
507.84	694.75	NaN	497.34	391.48	NaN	1276	690.32	NaN	1310.9	513.94	NaN	1056.6	418.42	NaN	584.95	435.31	NaN	559.14	545.99	NaN	1383.9	729.56	NaN
507.83	694.76	NaN	493.13	395.29	NaN	1282.7	684.15	NaN	1309.8	500.99	NaN	1056.6	418.42	NaN	589.41	426.72	NaN	565.85	526.48	NaN	1384	729.69	NaN
507.86	694.87	NaN	486.28	399.27	NaN	1291.4	670.83	NaN	1312.1	485.57	NaN	1056.6	418.42	NaN	595.87	416.72	NaN	564.57	507.42	NaN	1383.8	730.48	NaN
507.86	694.87	NaN	482.66	401.01	NaN	1295.8	668.4	NaN	1313.9	472.15	NaN	1056.6	418.42	NaN	607.12	406.99	NaN	566.57	494.42	NaN	1383.4	731.15	NaN
507.86	694.87	NaN	480.26	402.07	NaN	1310.5	659.53	NaN	1314.9	459.96	NaN	1056.6	418.42	NaN	612.32	395.53	NaN	578.57	483.99	NaN	1383.8	730.77	NaN
507.8	694.8	NaN	480.47	402.65	NaN	1316.1	648.18	NaN	1317.9	449.52	NaN	1056.6	418.42	NaN	617.6	378.61	NaN	586.11	475.19	NaN	1383.5	731.14	NaN
507.83	694.83	NaN	478.93	403.83	NaN	1317.1	637.5	NaN	1326.7	431.83	NaN	1056.6	418.42	NaN	629.17	358.56	NaN	587.21	458.39	NaN	1383.6	731.18	NaN
508.05	695.18	NaN	478.36	404.9	NaN	1319.4	627.53	NaN	1329.3	423.2	NaN	1056.6	418.42	NaN	628.25	341.98	NaN	587.53	444.01	NaN	1383.6	731.6	NaN
508.07	695.16	NaN	476.99	405.2	NaN	1320.9	618.77	NaN	1333.9	409.43	NaN	1056.6	418.42	NaN	629.5	326.31	NaN	595.22	427.23	NaN	1383.4	732.07	NaN
508.2	695.31	NaN	477.67	404.04	NaN	1316.7	610.26	NaN	1336.6	401.66	NaN	1056.6	418.42	NaN	642.15	309	NaN	602.99	413.54	NaN	1383.5	732.06	NaN
508.34	695.38	NaN	478.5	403.27	NaN	1311.7	607.75	NaN	1339.9	385.93	NaN	1056.6	418.42	NaN	644.6	291.7	NaN	604.8	393.45	NaN	1383.6	731.81	NaN
508.43	695.41	NaN	482.04	404.57	NaN	1303.8	604.2	NaN	1341.1	376.78	NaN	1056.6	418.42	NaN	644.59	273.73	NaN	606.18	383.04	NaN	1383.8	731.48	NaN
508.43	695.37	NaN	480.08	407.5	NaN	1300.3	593.46	NaN	1339.3	366.24	NaN	1056.6	418.42	NaN	655.29	252.51	NaN	615.2	362.42	NaN	1383.7	731.85	NaN
508.43	695.37	NaN	480.83	407.59	NaN	1297.8	577.47	NaN	1336.3	360.73	NaN	1056.6	418.42	NaN	657.01	238.77	NaN	613.05	340.94	NaN	1383.8	731.68	NaN
508.02	694.88	NaN	482.13	407.61	NaN	1296.9	565.96	NaN	1331	350.75	NaN	1056.6	418.42	NaN	658.09	222.09	NaN	615.07	327.94	NaN	1383.8	731.67	NaN
508.25	695.32	NaN	484.42	407.79	NaN	1305.8	549.27	NaN	1326.1	340.41	NaN	1056.6	418.42	NaN	670.58	211.56	NaN	629.29	308.2	NaN	1383.8	731.84	NaN
508.2	695.26	NaN	486.93	407.78	NaN	1307.9	536.88	NaN	1319	329.15	NaN	1056.6	418.42	NaN	682.82	199.33	NaN	637.37	293.81	NaN	1383.9	731.76	NaN
508.17	695.18	NaN	489.54	409.2	NaN	1312.1	526.86	NaN	1315.4	318.67	NaN	1056.6	418.42	NaN	689.47	186.12	NaN	642.68	275.77	NaN	1383.8	732.09	NaN
508.28	695.35	NaN	491.33	410.28	NaN	1317.7	521.55	NaN	1312	305.56	NaN	1056.6	418.42	NaN	709.63	182.93	NaN	654.25	268.68	NaN	1383.7	732.53	NaN
508.39	695.5	NaN	491.92	411.69	NaN	1318.2	518.98	NaN	1310	296.63	NaN	1056.6	418.42	NaN	724.65	184.17	NaN	665.7	256.84	NaN	1383.9	732.4	NaN
508	694.93	NaN	494.27	412.98	NaN	1319.9	510.45	NaN	1304.2	288.05	NaN	1056.6	418.42	NaN	734.28	183.01	NaN	NaN	NaN	NaN	1383.9	732.2	NaN
508.14	695.13	NaN	496.62	415.61	NaN	1320.7	501.66	NaN	1297.3	281.14	NaN	1056.6	418.42	NaN	758.32	185.84	NaN	674.35	228	NaN	1383.8	732.29	NaN
