X1	Y1	ProbId1	
221.95	732.99	NaN
221.66	732.92	NaN
218.68	732.98	NaN
215.04	733.19	NaN
213.15	733.09	NaN
208.34	733.22	NaN
206.44	732.96	NaN
206.21	732.76	NaN
209.06	732.33	NaN
210.62	732.03	NaN
209.58	731.66	NaN
205.44	732.04	NaN
204.55	731.96	NaN
211.09	731.37	NaN
208.6	731.3	NaN
207.07	730.89	NaN
202.82	731.01	NaN
202.54	730.18	NaN
201.53	729.88	NaN
199.56	729.84	NaN
196.72	729.75	NaN
196.04	729.51	NaN
197.89	728.96	NaN
200.08	728.9	NaN
201.8	729.17	NaN
200.22	728.87	NaN
194.56	728.22	NaN
194.99	727.91	NaN
189.89	727.29	NaN
191.42	727.2	NaN
188.83	726.76	NaN
188.17	726.57	NaN
189.93	726.45	NaN
190.78	726.24	NaN
188.82	725.87	NaN
188.04	725.93	NaN
192.68	726.2	NaN
198.33	726.56	NaN
190.23	725.69	NaN
186.68	725.21	NaN
187.79	724.92	NaN
188.32	724.74	NaN
184.8	724.18	NaN
182.15	723.78	NaN
180.07	723.28	NaN
185.4	723.76	NaN
178.69	723.16	NaN
185.3	723.68	NaN
186	723.8	NaN
185.3	723.5	NaN
184.67	723.06	NaN
179.66	722.46	NaN
177.39	722.04	NaN
177.32	721.69	NaN
175.37	721.34	NaN
176.12	721.24	NaN
174.32	721	NaN
177.11	720.99	NaN
181.26	721.36	NaN
182.09	721.47	NaN
178.91	721.45	NaN
179.66	721.64	NaN
178.61	721.28	NaN
174.89	720.35	NaN
175.72	720.23	NaN
166.03	719.21	NaN
166.6	719.16	NaN
171.54	719.51	NaN
173.08	719.58	NaN
170.02	719.39	NaN
163.8	718.65	NaN
168.99	719.29	NaN
172.51	719.61	NaN
170.49	719.28	NaN
170.73	719.12	NaN
165.42	718.41	NaN
160.26	717.82	NaN
159.56	717.4	NaN
160.63	717.26	NaN
161.61	717.23	NaN
162.8	717.44	NaN
162.42	717.33	NaN
170.91	718.35	NaN
166.01	717.76	NaN
168.5	718.17	NaN
173.75	718.81	NaN
169.54	718.02	NaN
166.17	717.27	NaN
167.73	717.38	NaN
165.76	717.19	NaN
163.24	716.7	NaN
160.72	716.32	NaN
164.85	716.53	NaN
169.94	717.11	NaN
172.31	717.42	NaN
175.3	717.89	NaN
172.72	717.72	NaN
172.71	717.62	NaN
169.18	716.98	NaN
174.42	717.5	NaN
164.51	716.27	NaN
